loan_amnt,int_rate,installment,annual_inc,dti,delinq_2yrs,pub_rec,long_term,employment_verified,employment,housing_instability,log_i2p_ratio,abandonment
2500.0,13.98,85.42,20004.0,19.86,0.0,0.0,0,0,1,0,0.2071084731323326,0
5000.0,15.95,175.67,59000.0,19.57,0.0,0.0,0,0,1,0,0.3768783724951578,1
7000.0,9.91,225.58,53796.0,10.8,3.0,0.0,0,0,1,0,0.14377747162773263,0
2000.0,5.42,60.32,30000.0,3.6,0.0,0.0,0,0,1,0,0.07772926412157843,0
3600.0,10.25,116.59,675048.0,1.55,0.0,0.0,0,0,1,0,0.1555853640603852,0
8000.0,6.03,243.49,77736.0,6.07,0.0,0.0,0,1,1,0,0.08674748790346393,0
6000.0,7.49,186.61,35000.0,13.13,0.0,0.0,0,0,1,0,0.11302357906495455,0
25600.0,14.27,599.26,86000.0,26.51,0.0,0.0,1,1,1,0,0.24905676005111768,0
19750.0,23.22,559.27,72500.0,19.96,0.0,0.0,1,1,1,0,0.332663545961051,0
6250.0,17.27,223.68,28000.0,13.76,0.0,1.0,0,1,1,0,0.3071736905879376,1
8000.0,13.79,272.61,75000.0,12.78,0.0,0.0,0,0,1,0,0.20433851976548673,0
15000.0,15.23,521.68,38400.0,17.38,1.0,0.0,0,0,1,0,0.22370605960970816,0
16000.0,6.54,101.97,100000.0,6.05,0.0,0.0,0,1,1,0,0.09901349831530343,0
7000.0,16.63,248.29,30996.0,8.32,2.0,0.0,0,1,1,0,0.12688560806817997,0
15000.0,9.99,231.01,23500.0,11.95,0.0,0.0,1,0,1,0,0.24257288359435503,0
9000.0,21.21,340.06,90000.0,10.24,0.0,0.0,0,0,1,0,0.11460267490435912,0
13000.0,11.83,430.75,107004.0,13.2,0.0,0.0,0,0,1,0,0.17631831681929974,0
4500.0,11.83,149.11,12960.0,9.17,0.0,1.0,0,0,1,0,0.1764059455114222,0
10500.0,12.53,351.4,51504.0,23.49,0.0,0.0,0,0,1,0,0.18631611125943054,0
